국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
인도네시아,전체,,68399,78117,84096,76017,95944,99511,101647,108206,112944,120160,127369,133108,142236,149437,157516.05,169569.52,182389,196180.9,222017.4,234549.1,267287.08,233367.44,262673.16,275657.47,281247.69,276504.41,289471,
인도네시아,가연성 연료,,55276,64638,71898,62812,79295,83141,83960,92028,97548,103836,110006,116827,123929,129612,136833,142752,160593,173957,192590.5,199993.3,240698,201209,230067.93,242665.05,247723.17,240582.12,252870,
인도네시아,수력,,10913,11269,9759,10612,13921,13721,11656,9940,9081,9673,10759,9623,11286,11528,11384,17456,12419,12799,15710,18800,17594.5,21475.44,18632.4,19774,20435.41,21624,19580,
인도네시아,풍력,,,,,,,,,,,,,,,0,4.05,4.02,5,5,1.4,,,6,6,,,,,
인도네시아,태양열,,,,,,,,,,,,,,,,,0.5,1,2.9,5.5,6.8,5.28,21,29,6.6,9.51,9.46,120,
인도네시아,기타,,2210,2210,2439,2593,2728,2649,6031,6238,6315,6651,6604,6658,7021,8297,9295,9357,9371,9417,13710,15749,8989.3,10656,13937.83,13211.82,13079.6,14288.83,16901,
이란,전체,,84969,90851,97744,103438,112657,121383,130199,141081,153879,166023,178088.35,192681.78,203985.57,214530.18,221371.477,232964.758,240051.9652,254275.695,262433.87,274437.08,280633.304,289115.781,307992.44,309642.233,311457.62,336238.802,344161.276,
이란,가연성 연료,,77681,83459,90815,96398,107714,117696,125108,133001,142754,155389,161917.3,174290.7,185855.5,209331.1,213913.407,223275.668,227449.9152,239774.635,242929.8,255917,263407.444,265820.781,285036.44,285568.989,287539.241,313486.956,323802.797,
이란,수력,,7288,7392,6929,7040,4943,3650,5057,8050,11098,10627,16100,18266,17987,5003,7233,9526,12058,12447,14582,13862,14090,16421,15051,15765,15873.279,15887.091,15887.091,
이란,원자력,,,,,,,,,,,,,,,,,,327,1847,4546,4472,2914,6620,7514,7450.452,6756.743,5526.619,3092.616,
이란,풍력,,,,,,,37,34,30,27,7,71,125,143,196,225,163,217,207,376,186,221,250,306,518.18,615.602,754.249,759.439,
이란,태양열,,,,,,,,,,,,0.05,0.08,0.07,0.08,0.07,0.09,0.05,0.06,0.07,0.08,0.86,4,85,339.612,672.755,583.887,619.333,
이라크,전체,,29000,29050,29561,32045,32678,31900,32251,33863,28340,32295,29297,30703,32104,36780,46065,48909,54240,46018,58468,67825,68745,80042.2,85540.8,81292.4,87370.3,85432.8,86164.2,
이라크,가연성 연료,,28430,28480,28980,31452,32073,31289,31633,33214,27907,31802,24333,25733,27556,33295,42837,44142,50100,41626,53665,64837,66116,76614,83307.4,79417.4,82349.7,81213.9,82761.1,
이라크,수력,,570,570,581,593,605,611,618,649,433,493,4964,4970,4548,3485,3228,4767,4140,4392,4757,2931,2572,3371.2,2176.1,1817.7,4963.3,4161.6,3345.8,
이라크,태양열,,,,,,,,,,,,,,,,,,,,46,57,57,57,57.3,57.3,57.3,57.3,57.3,
이스라엘,전체,,30425,32531,35100,37955,39215,42661,43951,45500,47041,47279,48602,50558,53792,57002,55008,58591,59679,63003,61322,60813,64226,66976,67674.475,68893.869,72350.979,72284.898,73796.334,
이스라엘,가연성 연료,,30400,32507,35075,37930,39182,42630,43931,45468,46998,47240,48563,50533,53768,56757,54683,58450,59371,62595,60794,59954,63080,65432,65741.881,66977.913,68796.319,67702.039,68053.568,
