국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
이란,석탄[exajoules],exajoules,0.04322,0.04521,0.04634,0.05396,0.05135,0.05457,0.0535,0.05069,0.05493,0.0575,0.06517,0.06291,0.06558,0.05163,0.03332,0.04811,0.04944,0.03834,0.03191,0.03799,0.0457,0.03801,0.04313,0.05706,0.06816,0.07711,0.075,0.07741,0.07881
이란,석유[100만 톤],100만 톤,58.73296,61.62982,63.29832,61.34343,62.75422,64.62444,66.60312,67.06067,67.26209,70.52311,75.63847,82.482,83.23887,85.65805,83.33959,78.17026,78.6628,80.76661,87.20716,80.39341,68.72457,69.92862,70.93742,74.08052,77.83555,75.12776,78.35974,81.4986,79.79754
이란,천연가스[exajoules],exajoules,1.14725,1.34926,1.43108,1.66433,1.97901,2.13987,2.39518,2.81593,2.88996,3.35722,3.49369,3.80822,4.26788,4.52832,4.8526,5.19802,5.51493,5.49164,5.53804,6.24243,6.6247,7.06749,7.38014,7.65516,7.86202,8.52362,8.26313,8.61845,8.83993
이란,수력[exajoules],exajoules,0.0886,0.09383,0.06324,0.07971,0.05475,0.04025,0.04359,0.08419,0.1001,0.12379,0.14893,0.1896,0.18281,0.07524,0.06759,0.10244,0.1061,0.12341,0.14348,0.14145,0.12847,0.14863,0.16509,0.0937,0.32136,0.21939,0.13025,0.13144,0.21184
이란,원자력[exajoules],exajoules,,,,,,,,,,,,,,,,,0.00102,0.01375,0.04006,0.03809,0.03252,0.05987,0.06397,0.06293,0.05838,0.05743,0.03197,0.05914,0.05954
이라크,전체[exajoules],exajoules,1.28423,1.28568,1.524,1.14399,0.82541,1.16158,1.2976,1.23334,1.09466,1.17376,1.10996,1.07886,1.08784,1.24529,1.22225,1.36769,1.40871,1.53567,1.69245,1.63874,1.60954,1.74727,2.04266,2.12577,2.30286,2.0587,2.13382,2.38911,2.51179
이라크,석유[100만 톤],100만 톤,26.32928,26.43393,32.47842,23.18805,15.76569,23.83147,27.33233,25.86575,23.35486,25.36244,23.46759,22.68745,20.23219,22.82152,22.06031,25.04919,26.73149,29.41995,32.56678,31.62269,31.26921,32.12042,38.07213,37.09422,36.35929,31.61332,35.21899,39.71833,42.12731
이라크,천연가스[exajoules],exajoules,0.10841,0.11081,0.10431,0.10089,0.10876,0.10773,0.09439,0.08071,0.05335,0.0342,0.04959,0.04959,0.16355,0.23247,0.2467,0.25687,0.22687,0.22829,0.25462,0.27111,0.26284,0.35624,0.41137,0.52562,0.70183,0.66546,0.5911,0.66102,0.67325
이라크,수력[exajoules],exajoules,0.07579,0.06908,0.07034,0.06597,0.03789,0.03403,0.03914,0.04792,0.04965,0.05965,0.05045,0.05112,0.04648,0.02966,0.02845,0.03612,0.03376,0.0434,0.04522,0.02765,0.02468,0.03249,0.02085,0.01731,0.0471,0.03935,0.03152,0.02488,0.03168
이스라엘,전체[exajoules],exajoules,0.70275,0.72827,0.79637,0.83806,0.86858,0.81854,0.81796,0.83442,0.85981,0.87656,0.88074,0.88545,0.9183,0.94474,0.91784,0.95421,0.97222,1.01781,0.96185,0.93833,0.99021,1.01005,1.02847,1.05196,1.08542,1.02649,1.05136,1.11114,1.11405
이스라엘,석탄[exajoules],exajoules,0.17287,0.20957,0.22789,0.24463,0.24027,0.26188,0.30229,0.31954,0.33116,0.33434,0.33241,0.32863,0.33609,0.33073,0.32388,0.32371,0.33211,0.36889,0.29679,0.2758,0.2701,0.23084,0.20949,0.19721,0.20844,0.18169,0.16284,0.15994,0.1383
이스라엘,석유[100만 톤],100만 톤,12.424,12.1892,13.37587,13.98554,14.80523,13.02581,12.07244,12.00958,12.3201,11.81194,11.53277,11.16845,11.3398,11.2503,10.40057,10.33231,10.80808,12.8984,9.74786,9.07635,9.67151,9.93269,10.34938,10.45334,10.55026,9.13456,9.49937,10.41365,10.25704
이스라엘,천연가스[exajoules],exajoules,0.00086,0.00054,0.00064,0.0004,0.00036,0.00033,0.00034,0.00031,0.00028,0.04066,0.05603,0.07824,0.09362,0.12881,0.14282,0.18245,0.16947,0.08713,0.23678,0.25864,0.28765,0.33041,0.35151,0.38069,0.38599,0.40565,0.42241,0.43712,0.45242
이스라엘,수력[exajoules],exajoules,0.00027,0.00026,0.00027,0.00027,0.00035,0.00033,0.00011,0.00022,0.00032,0.00029,0.00029,0.00015,0.00014,0.00016,0.00024,0.00031,0.00029,0.00033,0.00027,0.00012,0.00024,0.00024,0.00024,0.00022,0.00021,0.00023,0.00022,0.00022,0.00022
일본,전체[exajoules],exajoules,21.28286,21.70589,22.12907,21.77885,22.11844,22.51197,22.26853,22.19723,22.18649,22.48958,22.8687,22.80896,22.58817,22.17071,20.23917,21.54168,20.40915,20.21718,20.07222,19.55238,19.31015,19.06418,19.27684,19.1396,18.73993,17.3709,18.13493,18.01757,17.40375
일본,석탄[exajoules],exajoules,3.52748,3.6201,3.71861,3.54499,3.72952,3.99817,4.09376,4.34847,4.46853,4.58677,4.80533,4.72371,4.95865,5.09321,4.27301,4.86984,4.61754,4.87512,5.07398,4.98865,5.03273,5.02339,5.09747,4.99175,4.90534,4.57471,4.93008,4.91589,4.5364
일본,석유[100만 톤],100만 톤,269.78886,271.7673,268.60963,260.79454,264.48458,264.14204,255.35346,250.76712,258.63174,252.89358,255.99242,246.85269,240.13109,231.36608,206.67821,208.40715,208.55945,222.06292,212.18997,201.25872,193.75532,187.93015,185.76668,179.36154,174.81501,155.10717,157.9202,159.42432,151.44931
일본,천연가스[exajoules],exajoules,2.18223,2.32838,2.41685,2.4899,2.61511,2.72394,2.79822,2.73766,3.00594,2.90175,2.97821,3.18781,3.43404,3.56758,3.32921,3.59772,4.03291,4.43574,4.44733,4.49108,4.27384,4.19103,4.21151,4.16549,3.89244,3.74859,3.72622,3.608,3.32715
일본,수력[exajoules],exajoules,0.83876,0.82152,0.92017,0.94826,0.89198,0.89918,0.86234,0.84693,0.96545,0.95095,0.79953,0.90969,0.75847,0.76038,0.70845,0.88433,0.81919,0.76105,0.77836,0.79688,0.83147,0.76545,0.7592,0.77147,0.70146,0.7406,0.75008,0.70269,0.69669
일본,원자력[exajoules],exajoules,2.93058,3.02878,3.28064,3.32984,3.24057,3.25984,3.25305,3.16874,2.30506,2.84573,2.89867,2.99105,2.7254,2.4438,2.6497,2.8032,1.55268,0.17042,0.13749,,0.04209,0.16349,0.26729,0.44882,0.59769,0.39012,0.55342,0.4663,0.69511
카자흐스탄,전체[exajoules],exajoules,2.15538,1.87633,1.65448,1.55881,1.46506,1.33109,1.49829,1.5262,1.67289,1.76624,1.81665,1.95621,2.1704,2.28756,2.04842,2.2003,2.49846,2.62747,2.63378,2.7688,2.28928,2.56078,2.75373,2.84111,2.87536,2.64937,2.95994,2.94942,2.98111
카자흐스탄,석탄[exajoules],exajoules,1.14369,1.02147,0.87691,0.86348,0.7995,0.74687,0.93365,0.9459,1.04441,1.11331,1.12562,1.18643,1.30372,1.41462,1.29526,1.39772,1.5215,1.58495,1.56917,1.55059,1.14482,1.33643,1.46563,1.52432,1.44331,1.36543,1.40396,1.41022,1.38609
카자흐스탄,석유[100만 톤],100만 톤,11.97548,10.18414,10.22501,8.50533,7.01344,7.688,7.712,7.916,8.641,8.86255,9.10589,10.46296,11.35883,11.27729,9.01914,9.34784,12.51537,13.36348,13.46523,13.84105,12.7516,13.069,13.23214,14.14099,14.23204,12.40708,15.15203,14.90108,15.79839
카자흐스탄,천연가스[exajoules],exajoules,0.40737,0.34064,0.26739,0.26507,0.30012,0.17208,0.14736,0.14788,0.1686,0.18848,0.21812,0.23948,0.2922,0.30801,0.29136,0.31524,0.35545,0.38641,0.40257,0.53386,0.49689,0.54052,0.60212,0.60015,0.70935,0.63562,0.7782,0.76614,0.7713
카자흐스탄,수력[exajoules],exajoules,0.08868,0.07804,0.06918,0.06537,0.06528,0.08017,0.08547,0.09341,0.09004,0.08358,0.08098,0.07957,0.08318,0.07547,0.06916,0.08016,0.07829,0.07539,0.07585,0.08059,0.08986,0.11199,0.1074,0.09883,0.09483,0.09133,0.08674,0.08636,0.08223
카자흐스탄,원자력[exajoules],exajoules,0.00081,0.0009,0.00307,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,
쿠웨이트,전체[exajoules],exajoules,0.54198,0.53647,0.55818,0.68754,0.71375,0.763,0.7715,0.81659,0.97593,1.09031,1.20274,1.15607,1.12306,1.21593,1.23446,1.41467,1.41901,1.4323,1.52758,1.48915,1.6005,1.59469,1.60371,1.6558,1.51294,1.43237,1.52694,1.55664,1.57721
쿠웨이트,석탄[exajoules],exajoules,,,,,,0,0,0.00001,0,0,,0.0001,0.00002,0.00003,,0.00016,0.00057,0.00272,0.01147,0.00912,0.00756,0.00932,0.00705,0.00984,0.00795,0.002,0.00387,0.00552,0.00552
쿠웨이트,석유[100만 톤],100만 톤,5.312,5.146,5.667,8.514,9.804,10.22001,10.48853,12.19313,14.84507,16.85714,18.39902,17.09492,17.24492,18.19428,18.78231,21.09896,19.59218,18.37367,20.19003,19.24216,19.77625,18.89989,19.27529,20.29632,19.29572,18.12306,18.61964,17.50204,17.31716
쿠웨이트,천연가스[exajoules],exajoules,0.31731,0.31813,0.31703,0.32459,0.29713,0.32832,0.3249,0.29788,0.342,0.37278,0.42066,0.42442,0.38509,0.43434,0.42646,0.50312,0.57089,0.63115,0.63973,0.64336,0.73162,0.7614,0.75699,0.76148,0.66144,0.64489,0.7113,0.77976,0.80838
말레이시아,전체[exajoules],exajoules,1.43262,1.59938,1.85562,1.78359,1.90594,2.20053,2.25293,2.37303,2.57096,2.7779,3.00628,3.0378,3.2402,3.35744,3.25098,3.35871,3.41713,3.73827,3.91226,3.95142,4.01247,4.22029,4.27852,4.35447,4.46681,4.30714,4.48794,4.79261,4.80712
말레이시아,석탄[exajoules],exajoules,0.06983,0.07017,0.06786,0.07243,0.08117,0.10401,0.12431,0.15238,0.22242,0.27748,0.28824,0.30535,0.37016,0.40928,0.44447,0.61827,0.61806,0.6645,0.6304,0.64254,0.72827,0.78425,0.86906,0.9322,0.88102,1.03713,0.95885,0.94697,0.9826
말레이시아,석유[100만 톤],100만 톤,18.53162,20.38695,23.42486,21.2986,20.6921,22.42667,24.20683,26.21166,27.45812,28.72147,29.78373,28.7402,30.66022,29.32652,29.03534,29.23225,29.95849,32.81373,34.91999,35.09652,32.38537,36.16629,33.84576,34.39217,37.50484,31.13484,30.06248,36.35691,40.70508
말레이시아,천연가스[exajoules],exajoules,0.4873,0.58661,0.72825,0.73583,0.83753,1.03514,0.99755,1.0112,1.08957,1.17699,1.34543,1.3991,1.45445,1.56779,1.4408,1.36883,1.37943,1.51257,1.60442,1.60953,1.68623,1.61975,1.62159,1.6084,1.62774,1.57009,1.84866,1.87003,1.65857
말레이시아,수력[exajoules],exajoules,0.06619,0.05518,0.04442,0.04745,0.08039,0.07445,0.06415,0.0569,0.05314,0.05781,0.06192,0.06477,0.06064,0.07898,0.06927,0.06356,0.08001,0.09132,0.11576,0.13057,0.13499,0.19298,0.2572,0.25074,0.24859,0.2581,0.28451,0.29831,0.29463
오만,전체[exajoules],exajoules,0.22976,0.23571,0.24288,0.24905,0.28304,0.39933,0.44337,0.47201,0.48987,0.50908,0.56178,0.6136,0.6188,0.72282,0.71711,0.85295,0.93486,1.01989,1.14295,1.13687,1.2141,1.21855,1.27216,1.35267,1.34334,1.29777,1.4162,1.50086,1.54834
오만,석탄[exajoules],exajoules,0,0,0,0,0,0.00001,0.00001,0.00001,,0.00003,0.00001,0.00013,0.00003,0.00005,0.00006,0.00124,0.00043,0.00129,0.00188,0.0015,0.00206,0.00231,0.00318,0.00312,0.00351,0.00404,0.00352,0.00507,0.00507
오만,석유[100만 톤],100만 톤,2.55397,2.42819,2.10281,2.09101,2.63722,2.85578,3.25006,3.74798,3.57803,3.49689,3.97279,4.16574,4.22435,5.56636,5.26909,6.01091,6.45258,7.0398,8.24231,8.428,8.73353,8.98732,9.84025,10.30285,10.09127,8.20409,9.09875,10.39991,10.66989
