,국가별,연도,value
411,사모아,1996,0.5
412,솔로몬제도,1996,0.9
413,통가,1996,0.3
414,투발루,1996,0
415,바누아투,1996,0.5
416,대한민국,1997,-
417,아프가니스탄,1997,-
418,아르메니아,1997,3.4
419,아제르바이잔,1997,9.1
420,바레인,1997,13.4
421,방글라데시,1997,72
422,부탄,1997,0.6
423,브루나이,1997,10.8
424,캄보디아,1997,4.6
425,중국,1997,2199.1
426,키프로스,1997,13.2
427,동티모르,1997,0.8
428,조지아,1997,5.9
429,홍콩,1997,172.8
430,인도,1997,667
431,인도네시아,1997,430
432,이란,1997,233.6
433,이라크,1997,55
434,이스라엘,1997,157.7
435,일본,1997,3942.6
436,요르단,1997,16.6
437,카자흐스탄,1997,59.8
438,쿠웨이트,1997,57.5
439,키르기스스탄,1997,3.2
440,라오스,1997,4.2
441,레바논,1997,24.7
442,마카오,1997,13.9
443,말레이시아,1997,138.5
444,몰디브,1997,1.7
445,몽골,1997,3.5
446,미얀마,1997,10.1
447,네팔,1997,11.8
448,오만,1997,42.6
449,파키스탄,1997,146.7
450,필리핀,1997,133.1
451,카타르,1997,26.9
452,사우디아라비아,1997,353.1
453,싱가포르,1997,124.6
454,스리랑카,1997,32.6
455,시리아,1997,20
456,타지키스탄,1997,2.3
457,태국,1997,219.5
458,튀르키예,1997,390.7
459,투르크메니스탄,1997,7.9
460,아랍에미리트,1997,175.2
461,우즈베키스탄,1997,27.9
462,베트남,1997,79
463,예멘,1997,35.5
464,버뮤다,1997,5.7
465,캐나다,1997,1012.8
466,그린란드,1997,1.5
467,멕시코,1997,824.6
468,미국,1997,12038.3
469,앤티가바부다,1997,1
470,아르헨티나,1997,397.5
471,아루바,1997,2.5
472,바하마,1997,9
473,바베이도스,1997,4.1
474,벨리즈,1997,1.1
475,볼리비아,1997,16
476,브라질,1997,1127.4
477,케이맨제도,1997,-
478,칠레,1997,120.3
479,콜롬비아,1997,158.3
480,코스타리카,1997,26.2
481,쿠바,1997,40.6
482,도미니카연방,1997,0.4
483,도미니카공화국,1997,30.1
484,에콰도르,1997,50.4
485,엘살바도르,1997,16.6
486,그레나다,1997,0.6
487,과테말라,1997,32.8
488,가이아나,1997,2.9
489,아이티,1997,10.5
490,온두라스,1997,10.7
491,자메이카,1997,12.9
492,니카라과,1997,6.3
493,파나마,1997,18.4
494,파라과이,1997,21.6
495,페루,1997,84.2
496,푸에르토리코,1997,86.7
497,세인트키츠네비스,1997,0.6
498,세인트루시아,1997,1.3
499,세인트빈센트그레나딘,1997,0.5
500,수리남,1997,2.8
501,트리니다드토바고,1997,10.6
502,터크스케이커스제도,1997,-
503,미국령버진아일랜드,1997,-
504,우루과이,1997,35.9
505,알바니아,1997,4.6
506,안도라,1997,2
507,오스트리아,1997,280.6
508,벨라루스,1997,22
509,벨기에,1997,334
510,보스니아-헤르체고비나,1997,7.9
511,불가리아,1997,30.6
512,크로아티아,1997,38
513,체코,1997,120.2
514,덴마크,1997,240.8
515,에스토니아,1997,12.2
516,페로제도,1997,-
517,핀란드,1997,168.4
518,프랑스,1997,1838.1
519,독일,1997,2650.8
520,그리스,1997,181
521,헝가리,1997,81.8
522,아이슬란드,1997,10.1
523,아일랜드,1997,121.3
524,맨섬,1997,2.6
525,이탈리아,1997,1715.5
526,코소보,1997,-
527,라트비아,1997,13.8
528,리히텐슈타인,1997,-
529,리투아니아,1997,20.4
530,룩셈부르크,1997,32.7
531,북마케도니아,1997,5.9
532,몰타,1997,5.1
533,몰도바,1997,4.3
534,모나코,1997,3.5
535,네덜란드,1997,562.5
536,노르웨이,1997,281.4
537,폴란드,1997,245.4
538,포르투갈,1997,171.1
539,루마니아,1997,102.5
540,러시아,1997,704.1
541,산마리노,1997,1.2
542,슬로바키아,1997,45.7
543,슬로베니아,1997,28.6
544,스페인,1997,845.9
545,스웨덴,1997,320.2
546,스위스,1997,486.6
547,우크라이나,1997,67.4
548,영국,1997,2061.4
549,몬테네그로,1997,2.7
550,세르비아,1997,24.2
551,알제리,1997,97.5
552,앙골라,1997,28.4
553,베냉,1997,5.4
554,보츠와나,1997,7.6
555,부르키나파소,1997,4.4
556,부룬디,1997,1.9
557,카메룬,1997,15.1
558,카보베르데,1997,0.6
559,중앙아프리카공화국,1997,1.6
560,차드,1997,3
561,코모로,1997,0.6
562,콩고,1997,6
563,콩고민주공화국,1997,18.9
564,코트디부아르,1997,28.9
565,지부티,1997,-
566,이집트,1997,150.9
567,적도기니,1997,1.5
568,에리트레아,1997,1.9
569,에티오피아,1997,16.1
570,가봉,1997,10.5
571,감비아,1997,0.8
572,가나,1997,17.7
573,기니,1997,4.7
574,기니비사우,1997,0.8
575,케냐,1997,34.5
576,레소토,1997,1.4
577,라이베리아,1997,1.1
578,리비아,1997,57.2
579,마다가스카르,1997,6.8
580,말라위,1997,4.4
581,말리,1997,5.5
582,모리타니,1997,3.3
583,모리셔스,1997,5.7
584,모로코,1997,50.2
585,모잠비크,1997,4.2
586,나미비아,1997,5.1
587,니제르,1997,4.2
588,나이지리아,1997,165.8
589,르완다,1997,2.2
590,상투메프린시페,1997,0.1
591,세네갈,1997,8.9
592,세이셸,1997,0.9
593,시에라리온,1997,1.7
594,소말리아,1997,2.2
595,남아프리카공화국,1997,206.7
596,남수단,1997,-
597,수단,1997,32.9
598,에스와티니,1997,2.3
599,탄자니아,1997,16.3
600,토고,1997,3.5
601,튀니지,1997,24
602,우간다,1997,10.5
603,잠비아,1997,7.4
604,짐바브웨,1997,20.1
605,미국령사모아,1997,-
606,오스트레일리아,1997,763.9
607,피지,1997,3.1
608,프랑스령폴리네시아,1997,5.1
609,괌,1997,-
610,키리바시,1997,0.1
611,마셜제도,1997,0.2
612,미크로네시아,1997,0.3
613,나우루,1997,0.1
614,뉴칼레도니아,1997,-
615,뉴질랜드,1997,108.8
616,북마리아나제도,1997,-
617,팔라우,1997,0.2
618,파푸아뉴기니,1997,11.5
619,사모아,1997,0.5
620,솔로몬제도,1997,0.9
621,통가,1997,0.3
622,투발루,1997,0
