,국가별,항목,단위,연도,value
270,그리스,석탄[exajoules],exajoules,1995,0.33816
271,그리스,석유[100만 톤],100만 톤,1995,17.849
272,그리스,천연가스[exajoules],exajoules,1995,0.00184
273,그리스,수력[exajoules],exajoules,1995,0.03757
274,헝가리,전체[exajoules],exajoules,1995,1.03248
275,헝가리,석탄[exajoules],exajoules,1995,0.18197
276,헝가리,석유[100만 톤],100만 톤,1995,7.439
277,헝가리,천연가스[exajoules],exajoules,1995,0.38413
278,헝가리,수력[exajoules],exajoules,1995,0.00174
279,헝가리,원자력[exajoules],exajoules,1995,0.14328
280,아이슬란드,전체[exajoules],exajoules,1995,0.08562
281,아이슬란드,석탄[exajoules],exajoules,1995,0.00265
282,아이슬란드,석유[100만 톤],100만 톤,1995,0.699
283,아이슬란드,수력[exajoules],exajoules,1995,0.04979
284,아일랜드,전체[exajoules],exajoules,1995,0.48103
285,아일랜드,석탄[exajoules],exajoules,1995,0.12398
286,아일랜드,석유[100만 톤],100만 톤,1995,5.86935
287,아일랜드,천연가스[exajoules],exajoules,1995,0.09793
288,아일랜드,수력[exajoules],exajoules,1995,0.00759
289,이탈리아,전체[exajoules],exajoules,1995,6.97103
290,이탈리아,석탄[exajoules],exajoules,1995,0.50727
291,이탈리아,석유[100만 톤],100만 톤,1995,97.76
292,이탈리아,천연가스[exajoules],exajoules,1995,1.8695
293,이탈리아,수력[exajoules],exajoules,1995,0.4022
294,라트비아,전체[exajoules],exajoules,1995,0.16045
295,라트비아,석탄[exajoules],exajoules,1995,0.01119
296,라트비아,석유[100만 톤],100만 톤,1995,1.869
297,라트비아,천연가스[exajoules],exajoules,1995,0.03813
298,라트비아,수력[exajoules],exajoules,1995,0.03126
299,리투아니아,전체[exajoules],exajoules,1995,0.35773
300,리투아니아,석탄[exajoules],exajoules,1995,0.01027
301,리투아니아,석유[100만 톤],100만 톤,1995,3.243
302,리투아니아,천연가스[exajoules],exajoules,1995,0.08495
303,리투아니아,수력[exajoules],exajoules,1995,0.00397
304,리투아니아,원자력[exajoules],exajoules,1995,0.12076
305,룩셈부르크,전체[exajoules],exajoules,1995,0.12216
306,룩셈부르크,석탄[exajoules],exajoules,1995,0.02069
307,룩셈부르크,석유[100만 톤],100만 톤,1995,1.765
308,룩셈부르크,천연가스[exajoules],exajoules,1995,0.02324
309,룩셈부르크,수력[exajoules],exajoules,1995,0.00094
310,북마케도니아,전체[exajoules],exajoules,1995,0.10314
311,북마케도니아,석탄[exajoules],exajoules,1995,0.05986
312,북마케도니아,석유[100만 톤],100만 톤,1995,0.81008
313,북마케도니아,천연가스[exajoules],exajoules,1995,
314,북마케도니아,수력[exajoules],exajoules,1995,0.00853
315,네덜란드,전체[exajoules],exajoules,1995,3.50986
316,네덜란드,석탄[exajoules],exajoules,1995,0.373
317,네덜란드,석유[100만 톤],100만 톤,1995,37.43182
318,네덜란드,천연가스[exajoules],exajoules,1995,1.4689
319,네덜란드,수력[exajoules],exajoules,1995,0.00094
320,네덜란드,원자력[exajoules],exajoules,1995,0.04104
321,노르웨이,전체[exajoules],exajoules,1995,1.83374
322,노르웨이,석탄[exajoules],exajoules,1995,0.04044
323,노르웨이,석유[100만 톤],100만 톤,1995,8.952
324,노르웨이,천연가스[exajoules],exajoules,1995,0.11108
325,노르웨이,수력[exajoules],exajoules,1995,1.29371
326,폴란드,전체[exajoules],exajoules,1995,3.9914
327,폴란드,석탄[exajoules],exajoules,1995,2.94431
328,폴란드,석유[100만 톤],100만 톤,1995,14.935
329,폴란드,천연가스[exajoules],exajoules,1995,0.37659
330,폴란드,수력[exajoules],exajoules,1995,0.02009
331,포르투갈,전체[exajoules],exajoules,1995,0.88132
332,포르투갈,석탄[exajoules],exajoules,1995,0.17593
333,포르투갈,석유[100만 톤],100만 톤,1995,14.0471
334,포르투갈,천연가스[exajoules],exajoules,1995,
335,포르투갈,수력[exajoules],exajoules,1995,0.08881
336,루마니아,전체[exajoules],exajoules,1995,1.99729
337,루마니아,석탄[exajoules],exajoules,1995,0.44235
338,루마니아,석유[100만 톤],100만 톤,1995,13.494
339,루마니아,천연가스[exajoules],exajoules,1995,0.80554
340,루마니아,수력[exajoules],exajoules,1995,0.1777
341,루마니아,원자력[exajoules],exajoules,1995,
342,러시아,전체[exajoules],exajoules,1995,27.72732
343,러시아,석탄[exajoules],exajoules,1995,4.99804
344,러시아,석유[100만 톤],100만 톤,1995,150.5984
345,러시아,천연가스[exajoules],exajoules,1995,13.40803
346,러시아,수력[exajoules],exajoules,1995,1.87627
347,러시아,원자력[exajoules],exajoules,1995,1.01672
348,슬로바키아,전체[exajoules],exajoules,1995,0.7551
349,슬로바키아,석탄[exajoules],exajoules,1995,0.22792
350,슬로바키아,석유[100만 톤],100만 톤,1995,3.241
351,슬로바키아,천연가스[exajoules],exajoules,1995,0.21843
352,슬로바키아,수력[exajoules],exajoules,1995,0.05195
353,슬로바키아,원자력[exajoules],exajoules,1995,0.11683
354,슬로베니아,전체[exajoules],exajoules,1995,0.26766
355,슬로베니아,석탄[exajoules],exajoules,1995,0.05771
356,슬로베니아,석유[100만 톤],100만 톤,1995,2.185
357,슬로베니아,천연가스[exajoules],exajoules,1995,0.03095
358,슬로베니아,수력[exajoules],exajoules,1995,0.03462
359,슬로베니아,원자력[exajoules],exajoules,1995,0.04882
360,스페인,전체[exajoules],exajoules,1995,4.38988
361,스페인,석탄[exajoules],exajoules,1995,0.79411
362,스페인,석유[100만 톤],100만 톤,1995,57.598
363,스페인,천연가스[exajoules],exajoules,1995,0.32326
364,스페인,수력[exajoules],exajoules,1995,0.24603
365,스페인,원자력[exajoules],exajoules,1995,0.56648
366,스웨덴,전체[exajoules],exajoules,1995,2.39994
367,스웨덴,석탄[exajoules],exajoules,1995,0.11651
368,스웨덴,석유[100만 톤],100만 톤,1995,18.097
369,스웨덴,천연가스[exajoules],exajoules,1995,0.0283
370,스웨덴,수력[exajoules],exajoules,1995,0.72489
371,스웨덴,원자력[exajoules],exajoules,1995,0.71439
372,스위스,전체[exajoules],exajoules,1995,1.23838
373,스위스,석탄[exajoules],exajoules,1995,0.00797
374,스위스,석유[100만 톤],100만 톤,1995,11.797
375,스위스,천연가스[exajoules],exajoules,1995,0.08273
376,스위스,수력[exajoules],exajoules,1995,0.37441
377,스위스,원자력[exajoules],exajoules,1995,0.25254
378,우크라이나,전체[exajoules],exajoules,1995,6.65912
379,우크라이나,석탄[exajoules],exajoules,1995,2.13525
380,우크라이나,석유[100만 톤],100만 톤,1995,25.631
381,우크라이나,천연가스[exajoules],exajoules,1995,2.5966
382,우크라이나,수력[exajoules],exajoules,1995,0.10595
383,우크라이나,원자력[exajoules],exajoules,1995,0.7204
384,영국,전체[exajoules],exajoules,1995,9.18916
385,영국,석탄[exajoules],exajoules,1995,1.98689
