,국가별,항목,연도,value
447,아일랜드,가연성 연료,1995,16875.0
448,아일랜드,수력,1995,968.0
449,아일랜드,풍력,1995,16.0
450,아일랜드,태양열,1995,
451,이탈리아,전체,1995,241489.0
452,이탈리아,가연성 연료,1995,195755.0
453,이탈리아,수력,1995,41907.0
454,이탈리아,풍력,1995,9.0
455,이탈리아,태양열,1995,13.0
456,이탈리아,기타,1995,3805.0
457,코소보,전체,1995,
458,코소보,가연성 연료,1995,
459,코소보,수력,1995,
460,코소보,풍력,1995,
461,코소보,태양열,1995,
462,라트비아,전체,1995,3979.0
463,라트비아,가연성 연료,1995,1042.0
464,라트비아,수력,1995,2937.0
465,라트비아,풍력,1995,
466,라트비아,태양열,1995,
467,라트비아,기타,1995,
468,리투아니아,전체,1995,13899.0
469,리투아니아,가연성 연료,1995,1296.0
470,리투아니아,수력,1995,752.0
471,리투아니아,원자력,1995,11822.0
472,리투아니아,풍력,1995,
473,리투아니아,태양열,1995,
474,리투아니아,기타,1995,29.0
475,룩셈부르크,전체,1995,1230.0
476,룩셈부르크,가연성 연료,1995,399.0
477,룩셈부르크,수력,1995,831.0
478,룩셈부르크,풍력,1995,
479,룩셈부르크,태양열,1995,
480,북마케도니아,전체,1995,6132.0
481,북마케도니아,가연성 연료,1995,5331.0
482,북마케도니아,수력,1995,801.0
483,북마케도니아,풍력,1995,
484,북마케도니아,태양열,1995,
485,몰타,전체,1995,1632.0
486,몰타,가연성 연료,1995,1632.0
487,몰타,풍력,1995,
488,몰타,태양열,1995,
489,몰도바,전체,1995,6068.0
490,몰도바,가연성 연료,1995,5744.0
491,몰도바,수력,1995,324.0
492,몰도바,풍력,1995,
493,몰도바,태양열,1995,
494,네덜란드,전체,1995,81157.0
495,네덜란드,가연성 연료,1995,76446.0
496,네덜란드,수력,1995,88.0
497,네덜란드,원자력,1995,4018.0
498,네덜란드,풍력,1995,317.0
499,네덜란드,태양열,1995,2.0
500,네덜란드,기타,1995,286.0
501,노르웨이,전체,1995,123199.0
502,노르웨이,가연성 연료,1995,586.0
503,노르웨이,수력,1995,122487.0
504,노르웨이,풍력,1995,10.0
505,노르웨이,태양열,1995,
506,노르웨이,기타,1995,116.0
507,폴란드,전체,1995,139006.0
508,폴란드,가연성 연료,1995,135154.0
509,폴란드,수력,1995,3851.0
510,폴란드,풍력,1995,1.0
511,폴란드,태양열,1995,
512,폴란드,기타,1995,
513,포르투갈,전체,1995,33265.0
514,포르투갈,가연성 연료,1995,24752.0
515,포르투갈,수력,1995,8454.0
516,포르투갈,풍력,1995,16.0
517,포르투갈,태양열,1995,1.0
518,포르투갈,기타,1995,42.0
519,루마니아,전체,1995,59266.0
520,루마니아,가연성 연료,1995,42573.0
521,루마니아,수력,1995,16693.0
522,루마니아,원자력,1995,
523,루마니아,풍력,1995,
524,루마니아,태양열,1995,
525,러시아,전체,1995,860027.0
526,러시아,가연성 연료,1995,584053.0
527,러시아,수력,1995,176412.0
528,러시아,원자력,1995,99532.0
529,러시아,풍력,1995,
530,러시아,태양열,1995,
531,러시아,기타,1995,30.0
532,슬로바키아,전체,1995,26774.0
533,슬로바키아,가연성 연료,1995,10111.0
534,슬로바키아,수력,1995,5226.0
535,슬로바키아,원자력,1995,11437.0
536,슬로바키아,풍력,1995,
537,슬로바키아,태양열,1995,
538,슬로바키아,기타,1995,
