,year,month,wti,coal,lng,date,m2,unemploy,interest,wti_modified,dollar_idx
141,2006,10,3.27539383518345,1.2854648720551698,2.349112426035503,2006-10-01,2.004924979956477,4.4,5.34,1.5998087814483988,0.979270509282124
142,2006,11,3.298252711962979,1.2995764343473235,2.2189349112426036,2006-11-01,2.01508990951781,4.5,5.23,1.575035503810333,0.9622786450985952
143,2006,12,3.450650040277569,1.4692813570313936,2.1568047337278107,2006-12-01,2.0273737258046043,4.4,5.27,1.609082403446419,0.9453903900203635
144,2007,01,3.0474119402230246,1.503045472048167,2.2662721893491127,2007-01-01,2.0382831290802885,4.6,5.17,1.4376045043534,0.9615519873886547
145,2007,02,3.2971628694970527,1.5096024258760108,2.121301775147929,2007-02-01,2.0428931393883865,4.5,5.29,1.545064504883833,0.9573083896280721
146,2007,03,3.3691809745366252,1.534353449784717,2.1775147928994083,2007-03-01,2.0525999312793495,4.4,5.31,1.554177691110352,0.9468488175847403
147,2007,04,3.558916635660761,1.5647356261273127,2.2840236686390534,2007-04-01,2.0733592944679877,4.5,5.3,1.5992918838635062,0.9317180005706921
148,2007,05,3.533255422001999,1.575650475823752,2.428994082840237,2007-05-01,2.077339365479326,4.4,5.26,1.5839466692572646,0.9312643372393349
149,2007,06,3.753833594023744,1.702170086363388,2.508875739644971,2007-06-01,2.086845722139503,4.6,5.23,1.6824320175129721,0.935304128591927
150,2007,07,4.119199939312712,1.9620978751706524,2.4319526627218937,2007-07-01,2.0956935058985224,4.7,5.31,1.8007697687840414,0.9161637127739829
151,2007,08,4.027177348691319,2.0171001505233312,2.5473372781065087,2007-08-01,2.117483678845493,4.6,5.3,1.7457932449809657,0.9179354130225208
152,2007,09,4.429984575315445,1.9825760492876414,2.5295857988165684,2007-09-01,2.122694994845951,4.7,4.96,1.8770517866952243,0.8994181277484212
153,2007,10,4.7800932517279895,2.143108268738175,2.710059171597633,2007-10-01,2.1270186691100674,4.7,4.92,1.984213842352636,0.8829241740555989
154,2007,11,5.271853743646795,2.5098890328000834,2.8165680473372783,2007-11-01,2.1342916046271903,4.7,4.59,2.119848304314776,0.8582131938759904
155,2007,12,5.1054309098155635,2.6660316559593045,3.0384615384615383,2007-12-01,2.1429962203642194,5.0,4.66,2.0741755816071232,0.8706317860868669
156,2008,01,5.172623438704194,2.6546145902614904,3.106508875739645,2008-01-01,2.1526171114419883,5.0,3.06,2.0686513203649244,0.8608811916415346
157,2008,02,5.304957211852804,3.8244677925078436,3.1804733727810652,2008-02-01,2.1773565456419655,4.9,3.12,2.0910087927032404,0.8582296708472741
158,2008,03,5.869177964254733,3.7132926656263336,3.144970414201184,2008-03-01,2.196283358149124,5.1,3.01,2.195963916834057,0.8217435278010052
159,2008,04,6.2492730169165975,3.550862883746981,3.396449704142012,2008-04-01,2.2084526400183253,5.0,2.38,2.314487756274379,0.8179249941229539
160,2008,05,6.991099198422148,3.8564930689256873,3.63905325443787,2008-05-01,2.2120891077768867,5.4,2.16,2.6134912274917568,0.8269479968056758
161,2008,06,7.450421258851718,4.501072666263261,3.9378698224852076,2008-06-01,2.2174435917993356,5.6,1.98,2.788654731150677,0.8299778426601365
