,date,dollar_idx
6265,2019-08-15,98.13999938964844
6266,2019-08-16,98.13999938964844
6267,2019-08-19,98.3499984741211
6268,2019-08-20,98.19000244140625
6269,2019-08-21,98.30000305175781
6270,2019-08-22,98.16999816894531
6271,2019-08-23,97.63999938964844
6272,2019-08-26,98.08000183105469
6273,2019-08-27,98.0
6274,2019-08-28,98.20999908447266
6275,2019-08-29,98.51000213623047
6276,2019-08-30,98.91999816894531
6277,2019-09-03,98.94999694824219
6278,2019-09-04,98.44999694824219
6279,2019-09-05,98.41000366210938
6280,2019-09-06,98.38999938964844
6281,2019-09-09,98.27999877929688
6282,2019-09-10,98.33000183105469
6283,2019-09-11,98.6500015258789
6284,2019-09-12,98.30999755859375
6285,2019-09-13,98.26000213623047
6286,2019-09-16,98.6500015258789
6287,2019-09-17,98.26000213623047
6288,2019-09-18,98.5999984741211
6289,2019-09-19,98.2699966430664
6290,2019-09-20,98.51000213623047
6291,2019-09-23,98.5999984741211
6292,2019-09-24,98.33999633789062
6293,2019-09-25,99.04000091552734
6294,2019-09-26,99.20999908447266
6295,2019-09-27,99.11000061035156
6296,2019-09-30,99.37999725341797
6297,2019-10-01,99.12999725341797
6298,2019-10-02,99.04000091552734
6299,2019-10-03,98.86000061035156
6300,2019-10-04,98.80999755859375
6301,2019-10-07,98.98999786376953
6302,2019-10-08,99.13999938964844
6303,2019-10-09,99.12000274658203
6304,2019-10-10,98.70999908447266
6305,2019-10-11,98.30000305175781
6306,2019-10-14,98.44999694824219
6307,2019-10-15,98.29000091552734
6308,2019-10-16,98.01000213623047
6309,2019-10-17,97.61000061035156
6310,2019-10-18,97.27999877929688
6311,2019-10-21,97.33000183105469
6312,2019-10-22,97.52999877929688
6313,2019-10-23,97.47000122070312
6314,2019-10-24,97.62999725341797
6315,2019-10-25,97.83000183105469
6316,2019-10-28,97.76000213623047
6317,2019-10-29,97.69000244140625
6318,2019-10-30,97.6500015258789
6319,2019-10-31,97.3499984741211
